EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 46 STANAME: Station name
 48- 49 CN     : Country code (ISO3116 country codes)
 51- 59 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 61- 70 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 72- 75 HGTH   : Station elevation in meters

STAID,STANAME                                 ,CN,      LAT,       LON,HGHT
 3943,LLEIDA (OBSERVATORIO)                   ,ES,+41:37:07,+000:37:19, 191
 3944,LUGO/ROZAS                              ,ES,+43:06:55,-007:27:22, 445
 3945,COLMENAR VIEJO/FAMET                    ,ES,+40:41:55,-003:45:52,1004
 3946,MADRID/BARAJAS                          ,ES,+40:28:00,-003:33:20, 609
 3947,MADRID/CUATROVIENTOS                    ,ES,+40:22:40,-003:47:21, 687
 3948,MADRID/GETAFE                           ,ES,+40:18:00,-003:43:21, 617
 1389,MELILLA                                 ,ES,+35:16:40,-002:57:19,  47
  421,MURCIA                                  ,ES,+38:00:10,-001:10:10,  61
 3949,MURCIA/ALCANTARILLA                     ,ES,+37:57:28,-001:13:47,  85
 1404,MURCIA/SAN JAVIER                       ,ES,+37:47:20,-000:48:12,   4
 3950,PAMPLONA (OBSERVATORIO)                 ,ES,+42:49:03,-001:38:11, 442
  422,PAMPLONA                                ,ES,+42:46:37,-001:39:00, 459
 3951,OURENSE                                 ,ES,+42:19:40,-007:51:37, 143
 3952,OURENSE (INSTITUTO)                     ,ES,+42:20:00,-007:51:47, 148
 3953,PALENCIA (OBSERVATORIO)                 ,ES,+42:00:30,-004:32:07, 750
 3954,PONTEVEDRA                              ,ES,+42:26:24,-008:36:59, 108
 3955,PONTEVEDRA (INSTITUTO)                  ,ES,+42:25:50,-008:38:59,  19
 1395,VIGO PEINADOR                           ,ES,+42:14:22,-008:37:26, 261
 3956,SALAMANCA OBS.                          ,ES,+40:57:23,-005:39:41, 775
 3957,HIERRO/AEROPUERTO                       ,ES,+27:49:08,-017:53:20,  32
 1388,IZANA                                   ,ES,+28:18:32,-016:29:58,2371
 3958,LA PALMA/AEROPUERTO                     ,ES,+28:37:59,-017:45:18,  33
 3959,STA. CRUZ DE TENERIFE                   ,ES,+28:27:47,-016:15:19,  35
  455,TENERIFE/LOS RODEOS                     ,ES,+28:28:39,-016:19:46, 632
 3960,TENERIFE/SUR                            ,ES,+28:02:51,-016:33:39,  64
 3961,SEGOVIA                                 ,ES,+40:56:52,-004:07:38,1005
 3962,SEGOVIA (MARIANO QUINTANILLA)           ,ES,+40:56:52,-004:06:55, 990
