EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2023
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME
 3905,119741,VITORIA/FORONDA                         ,ES,+42:52:19,-002:44:00, 513, TN3,19760101,20231031,   31,Roser Botey Fullat                                
 3906,119750,ALBACETE OBS.                           ,ES,+39:00:25,-001:51:39, 674, TN3,19830101,20231031,   31,Roser Botey Fullat                                
  336,119759,ALBACETE LOS LLANOS                     ,ES,+38:57:08,-001:51:47, 704, TN3,19391201,20231031,   31,Roser Botey Fullat                                
 3907,119768,ALMERIA                                 ,ES,+36:50:00,-002:27:17,   7, TN3,19510101,19800428,   31,Roser Botey Fullat                                
 3907,119777,ALMERIA/AEROPUERTO                      ,ES,+36:50:47,-002:21:25,  21, TN3,19680101,20231031,   31,Roser Botey Fullat                                
 3907,908487,ALMERIA/AEROPUERTO                      ,ES,+36:51:00,-002:23:00,  21, TN6,19820130,20200229,     ,                    
 3908,119768,ALMERIA                                 ,ES,+36:50:00,-002:27:17,   7, TN3,19510101,19800428,   31,Roser Botey Fullat                                
 3908,119777,ALMERIA/AEROPUERTO                      ,ES,+36:50:47,-002:21:25,  21, TN3,19680101,20231031,   31,Roser Botey Fullat                                
 3908,908487,ALMERIA/AEROPUERTO                      ,ES,+36:51:00,-002:23:00,  21, TN6,19820130,20200229,     ,                    
 3909,119786,ASTURIAS/AVILES                         ,ES,+43:34:01,-006:02:39, 127, TN3,19680801,20231031,   31,Roser Botey Fullat                                
 3909,908011,ASTURIAS/AVILES                         ,ES,+43:34:00,-006:02:00, 130, TN6,19820303,20200229,     ,                    
 3910,119795,GIJON                                   ,ES,+43:32:18,-005:38:31,   3, TN3,19760601,20010305,   31,Roser Botey Fullat                                
 3910,119804,GIJON LA MERCED                         ,ES,+43:32:18,-005:38:31,  22, TN3,19381001,19760531,   31,Roser Botey Fullat                                
 3910,119813,GIJON MUSEL                             ,ES,+43:33:39,-005:41:55,   5, TN3,20010306,20231031,   31,Roser Botey Fullat                                
 3911,119795,GIJON                                   ,ES,+43:32:18,-005:38:31,   3, TN3,19760601,20010305,   31,Roser Botey Fullat                                
 3911,119804,GIJON LA MERCED                         ,ES,+43:32:18,-005:38:31,  22, TN3,19381001,19760531,   31,Roser Botey Fullat                                
 3911,119813,GIJON MUSEL                             ,ES,+43:33:39,-005:41:55,   5, TN3,20010306,20231031,   31,Roser Botey Fullat                                
 3912,119795,GIJON                                   ,ES,+43:32:18,-005:38:31,   3, TN3,19760601,20010305,   31,Roser Botey Fullat                                
 3912,119804,GIJON LA MERCED                         ,ES,+43:32:18,-005:38:31,  22, TN3,19381001,19760531,   31,Roser Botey Fullat                                
 3912,119813,GIJON MUSEL                             ,ES,+43:33:39,-005:41:55,   5, TN3,20010306,20231031,   31,Roser Botey Fullat                                
 3913,119822,OVIEDO                                  ,ES,+43:21:16,-005:52:22, 336, TN3,19721201,20230201,   31,Roser Botey Fullat                                
 3913,908015,OVIEDO                                  ,ES,+43:21:00,-005:52:00, 339, TN6,19820130,20200229,     ,                    
 3914,119831,AVILA                                   ,ES,+40:39:33,-004:40:48,1130, TN3,19830101,20231031,   31,Roser Botey Fullat                                
 3914,119840,AVILA-AYUNTAMIENTO                      ,ES,+40:39:20,-004:41:58,1143, TN3,19560701,19830131,   31,Roser Botey Fullat                                
 3914,908210,AVILA                                   ,ES,+40:39:00,-004:41:00,1132, TN6,19820306,20200229,     ,                    
 3915,119831,AVILA                                   ,ES,+40:39:33,-004:40:48,1130, TN3,19830101,20231031,   31,Roser Botey Fullat                                
 3915,119840,AVILA-AYUNTAMIENTO                      ,ES,+40:39:20,-004:41:58,1143, TN3,19560701,19830131,   31,Roser Botey Fullat                                
 3915,908210,AVILA                                   ,ES,+40:39:00,-004:41:00,1132, TN6,19820306,20200229,     ,                    
 3916,119849,IBIZA/ESCODOLA                          ,ES,+38:52:35,+001:23:04,   6, TN3,19650101,20231031,   31,Roser Botey Fullat                                
 3916,908373,IBIZA/ES CODOLA                         ,ES,+38:53:00,+001:22:00,  17, TN6,19820130,20200229,     ,                    
 3917,119858,MENORCA/MAO                             ,ES,+39:51:17,+004:12:56,  91, TN3,19650101,20231031,   31,Roser Botey Fullat                                
 3917,908314,MENORCA/MAHON                           ,ES,+39:52:00,+004:14:00,  86, TN6,19820130,20200229,     ,                    
 3918,119867,PALMA DE MALLORCA CMT                   ,ES,+39:33:20,+002:37:35,   3, TN3,19720801,20231031,   31,Roser Botey Fullat                                
 3918,119876,PALMA DE MALLORCA / SON SAN JUAN        ,ES,+39:33:39,+002:44:12,   8, TN3,19720801,20231031,   31,Roser Botey Fullat                                
 3919,119867,PALMA DE MALLORCA CMT                   ,ES,+39:33:20,+002:37:35,   3, TN3,19720801,20231031,   31,Roser Botey Fullat                                
 3919,119876,PALMA DE MALLORCA / SON SAN JUAN        ,ES,+39:33:39,+002:44:12,   8, TN3,19720801,20231031,   31,Roser Botey Fullat                                
  335,119885,BARCELONA -FABRA OBSERVATORY            ,ES,+41:25:06,+002:07:26, 412, TN3,19260101,20231031,   31,Roser Botey Fullat                                
 2969,119894,BARCELONA/AEROPUERTO                    ,ES,+41:17:34,+002:04:12,   4, TN3,19240301,20231031,   31,Roser Botey Fullat                                
 2969,156168,EL PRAT DE LLOBREGAT                    ,ES,+41:20:25,+002:04:49,   8, TN3,20110323,20230630,   63,Marc Prohom                                       
 2969,908181,BARCELONA/AEROPUERTO                    ,ES,+41:17:00,+002:04:00,   6, TN6,19820118,20200229,     ,                    
  414,119903,BURGOS-VILLAFRIA                        ,ES,+42:21:22,-003:37:57, 890, TN3,19430801,20231031,   31,Roser Botey Fullat                                
  414,908075,BURGOS/VILLAFRIA                        ,ES,+42:21:00,-003:38:00, 890, TN6,19820130,20200229,     ,                    
 3920,119912,GIRONA-NOU INSTITUT                     ,ES,+41:58:44,+002:49:36,  98, TN3,19821201,20120831,   31,Roser Botey Fullat                                
 3920,155278,GIRONA-NOU INSTITUT                     ,ES,+41:58:44,+002:49:36,  98, TN3,19670101,19771231,   63,Marc Prohom                                       
 3920,155334,GIRONA (ANTIC INSTITUT)                 ,ES,+41:58:48,+002:49:31,  95, TN3,18961101,19661231,   63,Marc Prohom                                       
 3921,119921,CACERES CIUDAD                          ,ES,+39:29:00,-006:22:00, 459, TN3,19200101,20231031,   31,Roser Botey Fullat                                
  415,119930,CADIZ                                   ,ES,+36:30:04,-006:15:24,   1, TN3,19550601,20231031,   31,Roser Botey Fullat                                
  415,908452,CADIZ, OBS.                             ,ES,+36:30:00,-006:16:00,   9, TN6,19820303,19890802,     ,                    
 1405,119939,JEREZ DE LA FRONTERA                    ,ES,+36:45:02,-006:03:21,  27, TN3,19520501,20231031,   31,Roser Botey Fullat                                
 1405,908451,JEREZ DE LA FRONTERA AEROPUERTO         ,ES,+36:45:00,-006:04:00,  28, TN6,19820206,20200229,     ,                    
 1406,119957,TARIFA                                  ,ES,+36:00:55,-005:35:51,  32, TN3,19450501,20231031,   31,Roser Botey Fullat                                
 1406,908458,TARIFA                                  ,ES,+36:01:00,-005:36:00,  25, TN6,19820303,19991229,     ,                    
 1392,119966,SANTANDER CENTRO                        ,ES,+43:27:53,-003:49:08,  64, TN3,19240101,19970407,   31,Roser Botey Fullat                                
 1392,119975,SANTANDER CMT                           ,ES,+43:29:30,-003:47:59,  52, TN3,19570201,20231031,   31,Roser Botey Fullat                                
 1392,908023,SANTANDER                               ,ES,+43:29:00,-003:48:00,  59, TN6,19820130,20200229,     ,                    
 3922,119966,SANTANDER CENTRO                        ,ES,+43:27:53,-003:49:08,  64, TN3,19240101,19970407,   31,Roser Botey Fullat                                
 3922,119975,SANTANDER CMT                           ,ES,+43:29:30,-003:47:59,  52, TN3,19570201,20231031,   31,Roser Botey Fullat                                
 3922,908023,SANTANDER                               ,ES,+43:29:00,-003:48:00,  59, TN6,19820130,20200229,     ,                    
 3923,119984,SANTANDER/PARAYAS                       ,ES,+43:25:45,-003:49:53,   5, TN3,19540101,20231031,   31,Roser Botey Fullat                                
 3923,908021,SANTANDER/PARAYAS                       ,ES,+43:26:00,-003:49:00,  10, TN6,19820303,20200229,     ,                    
 3924,119993,CASTELLON                               ,ES,+39:57:00,-000:04:17,  35, TN3,19760101,20231031,   31,Roser Botey Fullat                                
 3924,120002,CASTELLON DE LA PLANA                   ,ES,+39:59:21,-000:02:26,  25, TN3,19200101,19751231,   31,Roser Botey Fullat                                
 3925,119993,CASTELLON                               ,ES,+39:57:00,-000:04:17,  35, TN3,19760101,20231031,   31,Roser Botey Fullat                                
 3925,120002,CASTELLON DE LA PLANA                   ,ES,+39:59:21,-000:02:26,  25, TN3,19200101,19751231,   31,Roser Botey Fullat                                
 3926,120011,CEUTA                                   ,ES,+35:53:24,-005:20:45,  87, TN3,20030609,20231031,   31,Roser Botey Fullat                                
 3926,960320,CEUTA                                   ,ES,+35:54:59,-005:21:00,  88, TN6,19820316,20200229,     ,                    
 3927,120020,CEUTA (MONTE HACHO)                     ,ES,+35:53:32,-005:17:22, 200, TN3,19350101,19861231,   31,Roser Botey Fullat                                
  416,120029,CIUDAD REAL                             ,ES,+38:59:22,-003:55:11, 628, TN3,19701101,20231031,   31,Roser Botey Fullat                                
  416,120038,CIUDAD REAL (INSTITUTO)                 ,ES,+38:59:21,-003:55:43, 627, TN3,19200101,19701031,   31,Roser Botey Fullat                                
 3928,120029,CIUDAD REAL                             ,ES,+38:59:22,-003:55:11, 628, TN3,19701101,20231031,   31,Roser Botey Fullat                                
 3928,120038,CIUDAD REAL (INSTITUTO)                 ,ES,+38:59:21,-003:55:43, 627, TN3,19200101,19701031,   31,Roser Botey Fullat                                
 3929,120056,CUENCA                                  ,ES,+40:04:00,-002:08:17, 945, TN3,19610101,20231031,   31,Roser Botey Fullat                                
 3929,908231,CUENCA                                  ,ES,+40:04:00,-002:08:00, 946, TN6,19820303,20200229,     ,                    
 3931,120074,GIRONA/COSTA BRAVA                      ,ES,+41:54:42,+002:45:48, 143, TN3,19730101,20231031,   31,Roser Botey Fullat                                
 3931,155970,ANGLES                                  ,ES,+41:57:39,+002:37:52, 150, TN3,20080101,20230630,   63,Marc Prohom                                       
 3931,908184,GIRONA/COSTA BRAVA                      ,ES,+41:54:00,+002:46:00, 129, TN6,19820303,20200229,     ,                    
 3932,120083,GRANADA/AEROPUERTO                      ,ES,+37:11:23,-003:47:22, 567, TN3,19720701,20231031,   31,Roser Botey Fullat                                
 3932,908419,GRANADA/AEROPUERTO                      ,ES,+37:11:00,-003:47:00, 570, TN6,19820116,20200229,     ,                    
  417,120092,GRANADA                                 ,ES,+37:08:13,-003:37:53, 687, TN3,19510101,20231031,   31,Roser Botey Fullat                                
 3933,120101,GUADALAJARA                             ,ES,+40:39:40,-003:10:27, 639, TN3,19851011,20150802,   31,Roser Botey Fullat                                
 3933,908226,GUADALAJARA                             ,ES,+40:40:00,-003:10:00, 640, TN6,19820303,20200229,     ,                    
 3934,120110,GUADALAJARA (INSTITUTO)                 ,ES,+40:38:05,-003:09:52, 685, TN3,19610101,19850930,   31,Roser Botey Fullat                                
 3935,120119,MOLINA DE ARAGON                        ,ES,+40:50:40,-001:53:07,1056, TN3,19490901,20231031,   31,Roser Botey Fullat                                
 3935,908232,MOLINA DE ARAGON                        ,ES,+40:51:00,-001:53:00,1063, TN6,19820303,20200229,     ,                    
  418,120137,HUELVA (RONDA DEL ESTE)                 ,ES,+37:16:48,-006:54:35,  19, TN3,19840601,20231031,   31,Roser Botey Fullat                                
  418,120146,HUELVA                                  ,ES,+37:15:35,-006:56:57,  17, TN3,19200101,19840531,   31,Roser Botey Fullat                                
  418,908383,HUELVA                                  ,ES,+37:17:00,-006:55:00,  20, TN6,19820304,20200229,     ,                    
 3937,120137,HUELVA (RONDA DEL ESTE)                 ,ES,+37:16:48,-006:54:35,  19, TN3,19840601,20231031,   31,Roser Botey Fullat                                
 3937,120146,HUELVA                                  ,ES,+37:15:35,-006:56:57,  17, TN3,19200101,19840531,   31,Roser Botey Fullat                                
 3937,908383,HUELVA                                  ,ES,+37:17:00,-006:55:00,  20, TN6,19820304,20200229,     ,                    
  419,120155,HUESCA                                  ,ES,+42:05:00,-000:19:35, 541, TN3,19430301,20231031,   31,Roser Botey Fullat                                
  419,908094,HUESCA/MONFLORITE                       ,ES,+42:05:00,-000:20:00, 554, TN6,19820306,20200229,     ,                    
 3938,120164,JAEN                                    ,ES,+37:46:40,-003:48:27, 582, TN3,19830801,20231031,   31,Roser Botey Fullat                                
 3938,908417,JAEN                                    ,ES,+37:47:00,-003:48:00, 580, TN6,19820304,20200229,     ,                    
 3939,120173,JAEN (INSTITUTO)                        ,ES,+37:46:40,-003:47:17, 510, TN3,19200501,19830731,   31,Roser Botey Fullat                                
 1398,120182,LOGRONO-AGONCILLO                       ,ES,+42:27:08,-002:19:52, 353, TN3,19481101,20231031,   31,Roser Botey Fullat                                
 1398,908084,LOGRONO/AGONCILLO                       ,ES,+42:27:00,-002:20:00, 363, TN6,19820130,20200229,     ,                    
 3940,120191,FUERTEVENTURA/AEROPUERTO                ,ES,+28:26:41,-013:51:47,  25, TN3,19670101,20231031,   31,Roser Botey Fullat                                
 3940,960035,FUERTEVENTURA/AEROPUERTO                ,ES,+28:27:00,-013:52:00,  30, TN6,19820216,20200229,     ,                    
 2970,120200,LANZAROTE/AEROPUERTO                    ,ES,+28:57:07,-013:36:01,  14, TN3,19721101,20231031,   31,Roser Botey Fullat                                
 2970,960040,LANZAROTE/AEROPUERTO                    ,ES,+28:57:00,-013:36:00,  21, TN6,19820216,20200229,     ,                    
 1397,120218,LEON VIRGEN DEL CAMINO                  ,ES,+42:35:20,-005:38:58, 916, TN3,19380101,20231031,   31,Roser Botey Fullat                                
 1396,120227,PONFERRADA                              ,ES,+42:33:50,-006:36:00, 534, TN3,19510101,20231031,   31,Roser Botey Fullat                                
